id,var_f,var_g
1,1,weekly
2,0,
3,0,
4,0,
5,0,
6,0,
7,1,monthly
8,0,
9,0,
10,0,
11,0,
12,1,daily
13,0,
14,1,daily
15,0,
16,1,daily
17,1,don't know
18,0,
19,1,gmsa
20,0,
21,0,
22,0,
23,0,
24,0,
25,0,
26,0,
27,1,don't know
28,0,
29,0,
30,0,
31,0,
32,1,once every seven days
33,1,you are nice
34,1,compost
35,1,daily
36,0,
37,0,
38,0,
39,0,
40,0,
41,0,
42,0,
43,0,
44,0,
45,0,
46,0,
47,0,
48,0,
49,0,
50,0,
51,1,yearly
52,0,
53,1,once a decade
54,0,
55,1,dk
56,1,dontknow
57,0,
58,0,
59,0,
60,1,.
61,0,
62,0,
63,0,
64,1,1
65,1,yearly
66,0,
67,0,
68,0,
69,0,
70,1,no time
71,0,
72,1,finished
73,1,don't know
74,0,